adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,0,"[{'id': 10402, 'name': 'Music'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,13320,tt0050419,en,Funny Face,A shy Greenwich Village book clerk is discovered by a fashion photographer and whisked off to Paris where she becomes a reluctant model.,5.461487,/1CW8Wn2itBQ7wACBQHpOyIbPpmD.jpg,"[{'name': 'Paramount Pictures', 'id': 4}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1957-02-13,0,103.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,'S Wonderful! 'S Marvelous!,Funny Face,False,7.0,162
False,"{'id': 735, 'name': 'Blade Collection', 'poster_path': '/ltjxGZP6aJrwjl7oOZiiZhFgkF1.jpg', 'backdrop_path': '/ev9QybDDzVSahJQdOb71ZuqNVAo.jpg'}",45000000,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]",http://www.warnerbros.com/blade,36647,tt0120611,en,Blade,"When Blade's mother was bitten by a vampire during pregnancy, she did not know that she gave her son a special gift while dying: All the good vampire attributes in combination with the best human skills. Blade and his mentor Whistler battle an evil vampire rebel (Deacon Frost) who plans to take over the outdated vampire council, capture Blade and resurrect voracious blood god La Magra.",15.043454,/r0RQ9ZOEZglLOeYDNJTehVTRoR6.jpg,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Amen Ra Films', 'id': 421}, {'name': 'Imaginary Forces', 'id': 11321}, {'name': 'Marvel Enterprises', 'id': 19551}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1998-08-21,131183530,120.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,Part Man. Part Vampire. All Hero.,Blade,False,6.5,1950
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,54795,tt0119453,en,Keep the Aspidistra Flying,"Gordon Comstock is a copywriter at an ad agency, and his girlfriend Rosemary is a designer. Gordon believes he is a genius, a marvelous poet and quits the ad agency, trying to live on his poems, but poverty soon comes to him.",0.691061,/exLDuRDE2Lsh1kgfnhk4lFiBPFD.jpg,"[{'name': 'BBC Films', 'id': 288}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1997-11-20,0,101.0,[],Released,,Keep the Aspidistra Flying,False,6.3,3
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10752, 'name': 'War'}]",,29048,tt0061789,en,How I Won the War,An inept British WWII commander leads his troops to a series of misadventures in North Africa and Europe.,1.494833,/whI4pAKrLeZjOC5qYnO6QJbEi2x.jpg,[],"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1967-10-23,0,109.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,"""There's been some marvelous advances in surgery, thanks to war!""",How I Won the War,False,5.6,10
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,16347,tt0051383,en,Auntie Mame,"Ten-year-old orphan Patrick Dennis has come to live with his nearest relative and in the high times ahead, he's not going to believe his luck. Nor will you, because Patrick's relation is played by one of Hollywood's grandest dames. Reprising her Broadway triumph, Rosalind Russell won her fourth Oscar nomination and third Golden Globe Award as the marvelous madcap who lives life to the hilt.  Auntie Mame brings to bubbly life the mayhem Mame and her cronies create while guiding Patrick's fortunes. ""Life is a banquet,"" Mame says, ""and most poor suckers are starving to death!"" With wit, style and a seasoned cast to dish humor and heart with gusto, Auntie Mame is a full-course meal of entertainment magic.",1.849064,/bYaJdgb2eetGrlast3Ykc72F2b0.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1958-12-27,0,143.0,"[{'iso_639_1': 'it', 'name': 'Italiano'}]",Released,Tops the Best-Seller!  Tops the Play! The One and Only,Auntie Mame,False,6.4,28
False,"{'id': 748, 'name': 'X-Men Collection', 'poster_path': '/1Zo4J5SAni8lyXt7NxJwJZ0f0ip.jpg', 'backdrop_path': '/Abnosho2v3bcdvDww6T7Hfeczm1.jpg'}",75000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",,36657,tt0120903,en,X-Men,"Two mutants, Rogue and Wolverine, come to a private academy for their kind whose resident superhero team, the X-Men, must oppose a terrorist organization with similar powers.",0.954467,/k01Q6ATbfzNJgw4Zuoj0LTY3T9x.jpg,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': ""Donners' Company"", 'id': 431}, {'name': 'Bad Hat Harry Productions', 'id': 9168}, {'name': 'Marvel Enterprises', 'id': 19551}, {'name': 'Springwood Productions', 'id': 22969}, {'name': 'Genetics Productions', 'id': 22970}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-07-13,296339527,104.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Evolution Begins,X-Men,False,6.8,4172
False,,6000000,"[{'id': 16, 'name': 'Animation'}]",,1857,tt0092106,en,The Transformers: The Movie,"The Autobots must stop a colossal planet-consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons.",6.759181,/yGuQ2lz41EgjbnPeimXR9klTOoq.jpg,"[{'name': 'De Laurentiis Entertainment Group (DEG)', 'id': 484}, {'name': 'Marvel Productions', 'id': 2301}, {'name': 'Hasbro', 'id': 2598}, {'name': 'Sunbow Productions', 'id': 3313}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1986-08-08,5849647,84.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ja', 'name': '日本語'}]",Released,Beyond good. Beyond evil. Beyond your wildest imagination.,The Transformers: The Movie,False,7.1,134
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,759,tt0045810,en,Gentlemen Prefer Blondes,"Lorelei Lee is a beautiful showgirl engaged to be married to the wealthy Gus Esmond, much to the disapproval of Gus' rich father, Esmond Sr., who thinks that Lorelei is just after his money. When Lorelei goes on a cruise accompanied only by her best friend, Dorothy Shaw, Esmond Sr. hires Ernie Malone, a private detective, to follow her and report any questionable behavior that would disqualify her from the marriage.",7.174547,/iH9AIwajzpaAmlPzQaoiLrumXED.jpg,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1953-07-14,0,91.0,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,The Two M-M-Marvels Of Our Age In The Wonder Musical Of The World!,Gentlemen Prefer Blondes,False,7.1,169
False,,9000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",,8867,tt0098141,en,The Punisher,"The avenging angel of Marvel Comics fame comes brilliantly to life in this searing action-adventure thriller! Dolph Lundgren stars as Frank Castle, a veteran cop who loses his entire family to a mafia car bomb. Only his ex-partner believes Castle survived the blast to become THE PUNISHER ... a shadowy, invincible fighter against evil who lives for total revenge on his mob enemies.",12.597613,/9OjFAb9r21TNJIbbMVAZtbj3I60.jpg,"[{'name': 'New World Pictures', 'id': 1950}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'AU', 'name': 'Australia'}]",1989-10-05,0,89.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Punisher,False,5.5,109
False,"{'id': 735, 'name': 'Blade Collection', 'poster_path': '/ltjxGZP6aJrwjl7oOZiiZhFgkF1.jpg', 'backdrop_path': '/ev9QybDDzVSahJQdOb71ZuqNVAo.jpg'}",54000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",http://www.warnerbros.com/blade-ii,36586,tt0187738,en,Blade II,"A rare mutation has occurred within the vampire community - The Reaper. A vampire so consumed with an insatiable bloodlust that they prey on vampires as well as humans, transforming victims who are unlucky enough to survive into Reapers themselves. Blade is asked by the Vampire Nation for his help in preventing a nightmare plague that would wipe out both humans and vampires.",17.05064,/jlURNpXCMK830CsGRd939PJLh8c.jpg,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Amen Ra Films', 'id': 421}, {'name': 'Milk & Honey', 'id': 5611}, {'name': 'Imaginary Forces', 'id': 11321}, {'name': 'Justin Pictures', 'id': 11322}, {'name': 'Linovo Productions GmbH & Co. KG', 'id': 11323}, {'name': 'Pacific Title and Art Studio', 'id': 11324}, {'name': 'Marvel Enterprises', 'id': 19551}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2002-03-22,155010032,117.0,"[{'iso_639_1': 'cs', 'name': 'Český'}, {'iso_639_1': 'ro', 'name': 'Română'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,Faster. Sharper. Deadlier.,Blade II,False,6.3,1556
False,"{'id': 556, 'name': 'Spider-Man Collection', 'poster_path': '/aNknE3vw8QC5gDHBRYpOz9gzuPc.jpg', 'backdrop_path': '/waZqriYTuBE3WqXI3SDGi3kfDQE.jpg'}",139000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",http://www.sonypictures.com/movies/spider-man/,557,tt0145487,en,Spider-Man,"After being bitten by a genetically altered spider, nerdy high school student Peter Parker is endowed with amazing powers.",29.413341,/rZd0y1X1Gw4t5B3f01Qzj8DYY66.jpg,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Marvel Enterprises', 'id': 19551}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2002-05-01,821708551,121.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,With great power comes great responsibility.,Spider-Man,False,6.8,5398
False,,0,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",,41394,tt0082679,en,"The Looney, Looney, Looney Bugs Bunny Movie","Bugs Bunny hosts an award show featuring several classic Looney Tunes shorts and characters. This movie was released in 1981 by Warner Bros. and was produced by Friz Freleng. New footage was one of the final productions done by DePatie-Freleng Enterprises (also known as Marvel Productions beginning in the 1980s) and the film was re-released in the USA on April 28, 2009 from Warner Home Video.",1.02698,/81lAg7KlxD428VqyqtKapLtYxpE.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1981-11-20,0,79.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,"The Looney, Looney, Looney Bugs Bunny Movie",False,6.6,13
False,,78000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",http://marvel.com/movies/movie/12/daredevil,9480,tt0287978,en,Daredevil,"He dwells in a world of eternal night, but the blackness is filled with sounds and scents, tastes and textures that most cannot perceive. Although attorney Matt Murdock is blind, his other four senses function with superhuman sharpness. By day, Murdock represents the downtrodden. At night he is Daredevil, a masked vigilante stalking the dark streets of the city, a relentless avenger of justice.",11.415558,/dNVEqwgIdrwWQL3zXI5mQG60oM5.jpg,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Regency Enterprises', 'id': 508}, {'name': 'Epsilon Motion Pictures', 'id': 1171}, {'name': 'New Regency Pictures', 'id': 10104}, {'name': 'Marvel Enterprises', 'id': 19551}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2003-02-14,179179718,103.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'el', 'name': 'ελληνικά'}]",Released,A Guardian Devil,Daredevil,False,5.0,1551
False,"{'id': 748, 'name': 'X-Men Collection', 'poster_path': '/1Zo4J5SAni8lyXt7NxJwJZ0f0ip.jpg', 'backdrop_path': '/Abnosho2v3bcdvDww6T7Hfeczm1.jpg'}",110000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",,36658,tt0290334,en,X2,"Professor Charles Xavier and his team of genetically gifted superheroes face a rising tide of anti-mutant sentiment led by Col. William Stryker. Storm, Wolverine and Jean Grey must join their usual nemeses –  Magneto and Mystique – to unhinge Stryker's scheme to exterminate all mutants.",0.913096,/8TAPuoephNAiRGgBobP4xQl0QGK.jpg,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': ""Donners' Company"", 'id': 431}, {'name': 'Bad Hat Harry Productions', 'id': 9168}, {'name': 'Marvel Enterprises', 'id': 19551}, {'name': 'XM2 Productions', 'id': 79026}, {'name': 'XF2 Canada Productions', 'id': 79027}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2003-04-24,407711549,133.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,The time has come for those who are different to stand united.,X2,False,6.8,3572
False,,137000000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",,1927,tt0286716,en,Hulk,"Bruce Banner, a genetics researcher with a tragic past, suffers massive radiation exposure in his laboratory that causes him to transform into a raging green monster when he gets angry.",15.422638,/ogCQV6mnLtCJuiiHtMB83jvSRfY.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Good Machine', 'id': 10565}, {'name': 'Valhalla Motion Pictures', 'id': 11533}, {'name': 'Marvel Enterprises', 'id': 19551}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2003-06-19,245360480,138.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,Unleash the hero within,Hulk,False,5.3,1571
False,,0,"[{'id': 35, 'name': 'Comedy'}]",,71189,tt0063800,en,"Where Angels Go, Trouble Follows","Where Angels Go, Trouble Follows (1968) is a movie comedy starring Rosalind Russell and Stella Stevens. The film is a sequel to The Trouble with Angels (1966) and was written by Blanche Hanalis from a story by Jane Trahey, and directed by James Neilson. The story depicts the rivalry between the conservative Mother Superior (Russell) and the glamorous, progressive young Sister George (Stevens) as they shepherd a busload of Catholic high school girls across America to an interfaith youth rally being held in Santa Barbara, California. As they debate expressions of faith and role of the Church in the tumultuous America of the sixties, they must also contend with the antics of two rebellious, trouble-prone students, Rosabelle (Susan Saint James) and Marvel Anne (Barbara Hunter).",1.088001,/jM8IIPgVpuObT1C9V2WeuBTpY0x.jpg,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'William Frye Productions', 'id': 69236}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1968-04-10,0,93.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,...and so do the boys!,"Where Angels Go, Trouble Follows",False,4.9,5
False,,33000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",http://marvel.com/movies/movie/5/the_punisher,7220,tt0330793,en,The Punisher,"When undercover FBI agent Frank Castle's wife and son are slaughtered, he becomes 'the Punisher' -- a ruthless vigilante willing to go to any length to avenge his family.",18.250919,/qLeje0AueCpJBDW7pmg4Gv7cO1h.jpg,"[{'name': 'Lions Gate Films', 'id': 35}, {'name': 'VIP 3 Medienfonds', 'id': 827}, {'name': 'Valhalla Motion Pictures', 'id': 11533}, {'name': 'Marvel Enterprises', 'id': 19551}, {'name': 'VIP 2 Medienfonds', 'id': 36326}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2004-04-15,54700105,124.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"There is no justice, there is only revenge.",The Punisher,False,6.1,786
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",,25495,tt0054152,en,Our Man in Havana,Is a light hearted and satirical tale of political espionage and intrigue in pre-Castro Cuba.,6.603651,/e9L89r5olLhPDKU9yYBy5mpsnbu.jpg,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Kingsmead Productions', 'id': 12048}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1959-12-30,0,111.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"A murderously funny story, magnificently cast....marvelously made !",Our Man in Havana,False,6.9,28
False,"{'id': 556, 'name': 'Spider-Man Collection', 'poster_path': '/aNknE3vw8QC5gDHBRYpOz9gzuPc.jpg', 'backdrop_path': '/waZqriYTuBE3WqXI3SDGi3kfDQE.jpg'}",200000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",http://www.sonypictures.com/movies/spider-man2/,558,tt0316654,en,Spider-Man 2,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",10.834506,/qtBFrsEQ4oXW8sKvRxkKnYuPLg.jpg,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Laura Ziskin Productions', 'id': 326}, {'name': 'Marvel Enterprises', 'id': 19551}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2004-06-25,783766341,127.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'zh', 'name': '普通话'}]",Released,There's a hero in all of us.,Spider-Man 2,False,6.7,4432
